,Date,coal_generation_(mw),energy_met_(mu),energy_shortage_(mu),generation_outage_central_sector_(mw),generation_outage_state_sector_(mw),hydro_generation_(mu),hydro_generation_(mw),import/export_actual_(mu),import/export_o/d/u/d_(mu),import/export_schedule_(mu),maximum_demand_-_evening_peak_(mw),nuclear_generation_(mw),peak_shortage_(mw),solar_generation_(mu),"thermal_lignite_gas,_naptha_&_diesel_generation_(mw)",wind_generation_(mu)
0,2023-04-01,3216.0,3935.0,3.25,23671.0,31766.0,231.0,231.0,-4.000000000000034,-4.1,0.09999999999999432,167828.0,139.0,23.0,332.67,118.0,145.0
1,2023-04-02,3130.0,3873.0,3.3,23876.0,33202.0,236.0,236.0,-5.599999999999994,-5.6,5.329070518200751e-15,165169.0,135.0,150.0,340.14,115.0,162.0
2,2023-04-03,3292.0,4097.0,5.97,24295.0,33535.0,276.0,276.0,-7.399999999999989,-7.500000000000001,0.0,176363.0,134.0,836.0,331.27,118.0,189.0
3,2023-04-04,3439.0,4181.0,5.44,22745.0,29743.0,291.0,291.0,-8.000000000000005,-8.0,1.687538997430238e-14,179152.0,134.0,298.0,325.96,117.0,132.0
4,2023-04-05,3388.0,4205.0,3.8800000000000003,23765.0,27994.0,322.0,322.0,-4.800000000000011,-4.8000000000000025,2.3092638912203256e-14,178804.0,134.0,235.0,333.69,113.0,177.0
5,2023-04-06,3437.0,4232.0,6.87,22520.0,28700.0,314.0,314.0,-3.2000000000000055,-3.2,-2.842170943040401e-14,181705.0,133.0,244.0,325.76,113.0,184.0
6,2023-04-07,3506.0,4222.0,6.800000000000001,23145.0,29815.0,288.0,288.0,-9.299999999999988,-9.3,0.09999999999999964,179288.0,132.0,353.0,315.28,107.0,183.0
7,2023-04-08,3530.0,4241.0,6.28,23250.0,30995.0,265.0,265.0,-11.499999999999968,-11.5,-0.10000000000000586,181194.0,127.0,451.0,323.15000000000003,110.0,142.0
8,2023-04-09,3458.0,4151.0,7.510000000000001,22750.0,28957.0,258.0,258.0,-5.7000000000000055,-5.799999999999999,0.0,176497.0,134.0,376.0,331.90000000000003,107.0,122.0
9,2023-04-10,3646.0,4347.0,15.33,21545.0,26620.0,279.0,279.0,-6.599999999999992,-6.600000000000001,1.709743457922741e-14,188805.0,135.0,797.0,328.93,108.0,126.0
10,2023-04-11,3754.0,4453.0,12.440000000000001,18655.0,22043.0,317.0,317.0,-5.600000000000011,-5.6,-5.662137425588298e-15,193589.0,135.0,492.0,302.28,106.0,115.0
11,2023-04-12,3823.0,4556.0,7.28,16840.0,24260.0,300.0,300.0,-4.299999999999986,-4.199999999999999,0.10000000000000853,196862.0,134.0,814.0,343.35,104.0,122.0
12,2023-04-13,3850.0,4593.0,13.66,17904.0,23219.0,320.0,320.0,-6.0000000000000115,-5.9,0.10000000000003129,195436.0,134.0,2249.0,329.58,102.0,120.0
13,2023-04-14,3855.0,4594.0,24.849999999999998,21065.0,22975.0,309.0,309.0,-4.099999999999994,-4.300000000000001,2.886579864025407e-15,192457.0,135.0,2062.0,324.64000000000004,95.0,149.0
14,2023-04-15,3813.0,4561.0,22.939999999999998,21391.0,22580.0,331.0,331.0,-0.6999999999999913,-0.6999999999999993,1.9984014443252818e-14,195665.0,135.0,1933.0,316.75999999999993,93.0,152.0
15,2023-04-16,3746.0,4480.0,17.619999999999997,21656.0,21686.0,316.0,316.0,-10.000000000000005,-10.000000000000004,-2.2648549702353193e-14,192942.0,135.0,1314.0,342.71,93.0,128.0
16,2023-04-17,3886.0,4721.0,22.529999999999998,15542.0,19260.0,349.0,349.0,-5.399999999999983,-5.400000000000002,1.687538997430238e-14,204572.0,135.0,1592.0,340.99999999999994,96.0,143.0
17,2023-04-18,3989.0,4836.0,29.15,14232.0,17642.0,358.0,358.0,-2.999999999999986,-2.9999999999999996,-0.09999999999999432,207956.0,134.0,2021.0,332.98,103.0,137.0
18,2023-04-19,3906.0,4792.0,18.94,17390.0,18952.0,369.0,369.0,-2.5999999999999988,-2.6999999999999997,0.09999999999998854,205907.0,134.0,1418.0,316.92,107.0,165.0
19,2023-04-20,3871.0,4753.0,6.01,19656.0,16994.0,402.0,402.0,-6.399999999999973,-6.500000000000002,-5.329070518200751e-15,197695.0,115.0,55.0,322.38,103.0,199.0
20,2023-04-21,3741.0,4578.0,1.6400000000000001,19871.0,18116.0,375.0,375.0,-6.799999999999971,-6.8,-1.2434497875801753e-14,193999.0,110.0,57.0,336.83,103.0,175.0
21,2023-04-22,3635.0,4396.0,4.01,19611.0,26463.0,325.0,325.0,-5.000000000000003,-4.799999999999999,5.329070518200751e-15,184436.0,110.0,884.0,322.14,99.0,165.0
22,2023-04-23,3324.0,4084.0,1.45,19451.0,22587.0,298.0,298.0,-5.399999999999987,-5.299999999999999,-1.1546319456101628e-14,173143.0,111.0,34.0,339.53999999999996,77.0,159.0
23,2023-04-24,3526.0,4247.0,2.53,17811.0,22183.0,316.0,316.0,-4.200000000000003,-4.100000000000001,-0.10000000000000009,183981.0,111.0,144.0,339.30999999999995,94.0,108.0
24,2023-04-25,3636.0,4335.0,2.6799999999999997,18676.0,19945.0,304.0,304.0,-6.299999999999983,-6.300000000000001,-2.886579864025407e-15,187808.0,111.0,294.0,318.73,105.0,127.0
25,2023-04-26,3661.0,4378.0,3.6100000000000003,19687.0,20316.0,316.0,316.0,-5.500000000000014,-5.5,-1.1546319456101628e-14,188873.0,111.0,59.0,296.5199999999999,106.0,157.0
26,2023-04-27,3684.0,4361.0,2.87,17042.0,22330.0,327.0,327.0,-3.299999999999983,-3.2999999999999985,-0.09999999999998543,186312.0,114.0,98.0,277.43,105.0,117.0
27,2023-04-28,3643.0,4342.0,3.44,17301.0,23070.0,332.0,332.0,-4.0000000000000115,-3.9000000000000044,0.10000000000001696,187642.0,127.0,547.0,269.2,113.0,106.0
28,2023-04-29,3537.0,4204.0,4.18,18881.0,24575.0,316.0,316.0,-6.70000000000002,-6.699999999999999,2.886579864025407e-15,178374.0,135.0,361.0,271.70000000000005,109.0,88.0
29,2023-04-30,3185.0,3823.0,6.209999999999999,21851.0,30469.0,299.0,299.0,-3.3,-3.4,5.773159728050814e-15,160867.0,131.0,475.0,273.68,92.0,102.0
30,2023-05-01,2937.0,3605.0,2.0300000000000002,25651.0,33685.0,320.0,320.0,-4.300000000000006,-4.3,2.886579864025407e-15,156090.0,130.0,53.0,289.27,89.0,85.0
31,2023-05-02,2975.0,3708.0,3.7199999999999998,27766.0,35215.0,351.0,351.0,-3.9000000000000115,-3.8000000000000016,0.09999999999999998,168988.0,133.0,297.0,288.76,97.0,100.0
32,2023-05-03,3057.0,3804.0,3.9899999999999998,29241.0,35575.0,345.0,345.0,-5.1999999999999975,-5.200000000000001,1.7041923427996153e-14,168075.0,128.0,256.0,300.30999999999995,94.0,105.0
33,2023-05-04,3126.0,3851.0,4.05,28768.0,32484.0,353.0,353.0,-3.100000000000006,-3.199999999999998,0.10000000000001696,175461.0,125.0,566.0,309.46999999999997,84.0,96.0
34,2023-05-05,3239.0,4003.0,5.1000000000000005,26945.0,31866.0,374.0,374.0,-4.6,-4.700000000000001,-2.6645352591003757e-15,181250.0,121.0,663.0,296.28,93.0,108.0
35,2023-05-06,3326.0,4109.0,5.72,27674.0,28790.0,361.0,364.0,-8.2,-8.2,-0.09999999999999698,182411.0,134.0,801.0,310.34,88.0,121.0
36,2023-05-07,3229.0,3997.0,3.44,28444.0,28429.0,353.0,353.0,-4.600000000000028,-4.5,-0.10000000000000853,176146.0,121.0,606.0,298.68,89.0,148.0
37,2023-05-09,3616.0,4376.0,14.62,22739.0,21020.0,370.0,370.0,-2.9000000000000004,-2.9,-1.4210854715202004e-14,191655.0,116.0,2348.0,337.44,88.0,115.0
38,2023-05-10,3685.0,4406.0,10.030000000000001,20102.0,19765.0,346.0,346.0,-9.1,-9.199999999999996,0.0,194527.0,123.0,512.0,351.2,85.0,103.0
39,2023-05-11,3700.0,4508.0,6.01,18542.0,20105.0,341.0,341.0,-2.3000000000000025,-2.4000000000000004,5.329070518200751e-15,196249.0,125.0,496.0,339.2,88.0,157.0
40,2023-05-12,3687.0,4581.0,6.6,20174.0,21015.0,348.0,348.0,-4.899999999999977,-4.800000000000001,5.329070518200751e-15,200207.0,124.0,469.0,336.10999999999996,88.0,249.0
41,2023-05-13,3650.0,4619.0,4.300000000000001,20491.0,24143.0,359.0,359.0,-4.6,-4.7,8.881784197001252e-15,199063.0,124.0,600.0,325.41,89.0,355.0
42,2023-05-14,3418.0,4432.0,2.91,20341.0,24649.0,347.0,347.0,-7.8000000000000025,-7.8,-0.09999999999998899,188295.0,124.0,13.0,331.69,88.0,380.0
43,2023-05-15,3524.0,4595.0,3.7399999999999993,21174.0,21652.0,371.0,371.0,-7.300000000000006,-7.199999999999999,0.0,200417.0,125.0,413.0,331.09999999999997,87.0,418.0
44,2023-05-16,3676.0,4669.0,15.23,20320.0,23772.0,384.0,381.0,-4.4999999999999885,-4.399999999999999,-0.09999999999996878,203267.0,125.0,314.0,338.7300000000001,90.0,327.0
45,2023-05-17,3800.0,4777.0,25.23,18171.0,22212.0,414.0,414.0,-6.60000000000002,-6.500000000000002,2.6645352591003757e-15,199635.0,121.0,1777.0,342.98,89.0,263.0
46,2023-05-18,3636.0,4585.0,21.84,16434.0,22285.0,424.0,424.0,-5.199999999999986,-5.200000000000001,0.10000000000003118,201505.0,116.0,2838.0,338.6,94.0,208.0
47,2023-05-19,3864.0,4754.0,12.9,15354.0,22345.0,415.0,415.0,-4.200000000000026,-4.000000000000001,0.10000000000000853,200832.0,115.0,652.0,330.67,93.0,189.0
48,2023-05-20,3813.0,4787.0,5.260000000000001,14173.0,21765.0,432.0,432.0,-3.8999999999999857,-3.8999999999999986,-0.09999999999997122,204160.0,115.0,448.0,324.39000000000004,88.0,249.0
49,2023-05-21,3695.0,4602.0,4.67,15658.0,24574.0,404.0,404.0,-7.3000000000000025,-7.300000000000003,-0.10000000000000009,194011.0,110.0,245.0,324.18,85.0,267.0
50,2023-05-22,3778.0,4734.0,15.870000000000001,14486.0,23780.0,424.0,424.0,7.100000000000006,7.100000000000004,0.09999999999999432,204558.0,113.0,766.0,335.44,85.0,239.0
51,2023-05-23,3827.0,4800.0,8.56,14494.0,23666.0,451.0,451.0,-8.79999999999996,-8.8,0.0,199320.0,113.0,211.0,330.26,77.0,251.0
52,2023-05-24,3496.0,4589.0,3.59,20707.0,25275.0,447.0,447.0,-4.0000000000000115,-4.000000000000002,0.10000000000001141,197709.0,112.0,90.0,327.42,74.0,350.0
53,2023-05-25,3321.0,4448.0,6.380000000000001,20802.0,25933.0,432.0,432.0,-4.200000000000001,-4.1,2.6645352591003757e-15,185001.0,114.0,83.0,326.11000000000007,79.0,442.0
54,2023-05-26,3118.0,4294.0,1.92,24943.0,30652.0,464.0,464.0,-4.599999999999997,-4.599999999999998,0.09999999999998588,188380.0,114.0,171.0,327.96,77.0,454.0
55,2023-05-27,3165.0,4296.0,6.5,26808.0,32894.0,470.0,470.0,-4.300000000000006,-4.1999999999999975,-1.687538997430238e-14,190373.0,114.0,679.0,317.69,81.0,371.0
56,2023-05-28,3277.0,4218.0,11.66,26278.0,30332.0,433.0,433.0,-4.500000000000003,-4.399999999999999,-3.1308289294429414e-14,178666.0,114.0,455.0,273.71,80.0,284.0
57,2023-05-29,3566.0,4357.0,22.89,22331.0,26317.0,445.0,445.0,-9.099999999999984,-9.1,-2.6645352591003757e-15,189329.0,114.0,2341.0,303.17,80.0,135.0
58,2023-05-31,3572.0,4441.0,8.71,20730.0,24938.0,432.0,432.0,-5.300000000000015,-5.5,0.1999999999999993,192599.0,112.0,238.0,332.61,78.0,173.0
59,2023-06-01,3522.0,4458.0,9.05,22400.0,27605.0,434.0,434.0,-0.79999999999999,-0.7999999999999972,-1.0658141036401503e-14,195121.0,111.0,685.0,294.00000000000006,72.0,314.0
60,2023-06-02,3568.0,4559.0,16.64,20950.0,28365.0,452.0,452.0,-5.700000000000003,-5.599999999999996,-1.4210854715202004e-14,198992.0,112.0,1153.0,317.1000000000001,79.0,318.0
61,2023-06-03,3714.0,4662.0,10.959999999999999,19686.0,27265.0,449.0,449.0,-4.300000000000008,-4.3000000000000025,3.552713678800501e-15,198950.0,113.0,532.0,322.95,83.0,281.0
62,2023-06-04,3427.0,4335.0,3.8600000000000003,19906.0,28625.0,388.0,388.0,-2.2999999999999936,-2.400000000000002,-1.0658141036401503e-14,182336.0,112.0,37.0,285.74,82.0,319.0
63,2023-06-05,3646.0,4623.0,6.67,15935.0,27320.0,396.0,396.0,-5.7000000000000135,-5.599999999999999,-0.09999999999999432,201286.0,108.0,372.0,328.81000000000006,92.0,323.0
64,2023-06-06,3682.0,4715.0,7.72,14433.0,23240.0,419.0,419.0,-6.999999999999979,-6.999999999999999,-0.09999999999999432,200289.0,108.0,181.0,313.46000000000004,92.0,349.0
65,2023-06-07,3746.0,4757.0,7.13,15256.0,21949.0,400.0,400.0,-5.499999999999989,-5.600000000000005,-0.10000000000000497,203065.0,108.0,702.0,320.2200000000001,91.0,339.0
66,2023-06-09,3780.0,4914.0,10.65,17077.0,22003.0,406.0,406.0,-5.999999999999986,-5.899999999999999,-7.105427357601002e-15,206367.0,106.0,189.0,331.59000000000003,99.0,410.0
67,2023-06-10,3714.0,4849.0,8.57,19185.0,25207.0,428.0,432.0,-3.8000000000000007,-3.7000000000000037,3.552713678800501e-15,199892.0,106.0,603.0,326.90999999999997,100.0,439.0
68,2023-06-11,3505.0,4615.0,3.04,20075.0,25492.0,460.0,460.0,-2.2000000000000197,-2.1999999999999993,-9.769962616701378e-15,193285.0,106.0,158.0,321.35999999999996,96.0,408.0
69,2023-06-12,3592.0,4817.0,7.52,15838.0,24477.0,484.0,484.0,-4.900000000000015,-5.000000000000002,-0.0999999999999659,206443.0,107.0,385.0,326.43000000000006,99.0,450.0
70,2023-06-13,3571.0,4913.0,5.96,17287.0,25189.0,510.0,510.0,-3.8999999999999715,-3.8,3.697042672001771e-14,204767.0,107.0,412.0,323.33,97.0,503.0
71,2023-06-14,3478.0,4852.0,10.900000000000002,20720.0,26835.0,543.0,543.0,-6.700000000000017,-6.600000000000001,2.886579864025407e-15,203850.0,108.0,599.0,324.19,96.0,532.0
72,2023-06-15,3530.0,4789.0,19.210000000000004,20877.0,24987.0,574.0,574.0,-5.599999999999984,-5.500000000000003,5.329070518200751e-15,204483.0,110.0,1457.0,311.9,94.0,415.0
73,2023-06-16,3626.0,4844.0,19.62,22029.0,24011.0,555.0,555.0,-3.0999999999999908,-3.000000000000001,-0.10000000000001918,204407.0,108.0,463.0,272.06,98.0,398.0
74,2023-06-17,3632.0,4850.0,14.680000000000001,21503.0,23909.0,563.0,563.0,-3.1000000000000014,-3.0000000000000004,-3.907985046680551e-14,203698.0,109.0,67.0,227.89000000000001,97.0,423.0
75,2023-06-18,3418.0,4607.0,3.78,20124.0,22059.0,553.0,553.0,-2.500000000000039,-2.5999999999999885,0.10000000000000142,192573.0,111.0,12.0,259.7,99.0,383.0
76,2023-06-19,3560.0,4722.0,3.14,20074.0,22227.0,569.0,569.0,-4.800000000000008,-4.699999999999999,-7.105427357601002e-15,203192.0,112.0,181.0,299.01,105.0,304.0
77,2023-06-20,3563.0,4790.0,5.36,18519.0,21997.0,600.0,600.0,-2.2000000000000117,-2.1000000000000023,0.0,203731.0,112.0,89.0,299.96999999999997,105.0,311.0
78,2023-06-21,3618.0,4835.0,2.51,17564.0,20556.0,609.0,609.0,-4.30000000000004,-4.299999999999998,0.09999999999998366,206215.0,115.0,96.0,294.69000000000005,105.0,292.0
79,2023-06-22,3615.0,4867.0,6.459999999999999,16798.0,20741.0,612.0,612.0,-4.799999999999965,-4.9,0.10000000000001741,211250.0,124.0,335.0,297.25,110.0,304.0
80,2023-06-24,3525.0,4757.0,2.58,16696.0,22404.0,589.0,589.0,-9.89999999999996,-9.7,-2.275957200481571e-14,200990.0,126.0,209.0,272.16999999999996,102.0,353.0
81,2023-06-25,3214.0,4272.0,2.02,20437.0,27331.0,560.0,560.0,-6.399999999999981,-6.400000000000004,-0.1000000000000032,183795.0,127.0,13.0,262.03,98.0,271.0
82,2023-06-27,3260.0,4403.0,1.87,21247.0,31284.0,598.0,598.0,-3.8000000000000114,-3.800000000000002,-0.10000000000002851,190766.0,124.0,318.0,264.9,97.0,327.0
83,2023-06-28,3269.0,4394.0,1.31,22111.0,30195.0,598.0,598.0,-3.999999999999977,-3.999999999999996,-2.842170943040401e-14,192523.0,122.0,50.0,265.78000000000003,97.0,354.0
84,2023-06-29,3115.0,4356.0,0.91,25056.0,31121.0,621.0,621.0,-5.099999999999971,-5.200000000000003,-1.1546319456101628e-14,188592.0,122.0,20.0,266.10999999999996,98.0,394.0
85,2023-06-30,2993.0,4311.0,1.6099999999999999,27536.0,32409.0,625.0,625.0,-4.100000000000012,-4.200000000000005,-2.842170943040401e-14,192042.0,126.0,13.0,282.59,93.0,419.0
86,2023-07-01,3123.0,4400.0,3.12,28187.0,32894.0,631.0,631.0,-0.800000000000006,-0.8000000000000007,5.773159728050814e-15,193030.0,123.0,123.0,287.81,96.0,378.0
87,2023-07-02,,4357.0,6.7,,,642.0,,,,,190135.0,,885.0,288.21,,326.0
88,2023-07-03,3393.0,4599.0,22.47,23353.0,32133.0,657.0,657.0,-4.000000000000028,-3.900000000000001,-3.4083846855992306e-14,197820.0,122.0,3153.0,296.12,94.0,314.0
89,2023-07-04,3451.0,4687.0,5.81,24341.0,30229.0,652.0,653.0,0.09999999999999432,0.1999999999999984,-0.10000000000001705,200511.0,122.0,343.0,281.65,90.0,365.0
90,2023-07-05,3340.0,4546.0,3.42,24342.0,30962.0,637.0,637.0,-7.6,-7.600000000000001,0.1000000000000032,195337.0,117.0,465.0,267.76,85.0,358.0
91,2023-07-06,3241.0,4388.0,1.94,20928.0,31351.0,619.0,619.0,-6.200000000000008,-6.1,-5.329070518200751e-15,192210.0,116.0,33.0,234.16,82.0,352.0
92,2023-07-07,3268.0,4403.0,2.0,21805.0,28498.0,621.0,621.0,-6.200000000000031,-6.0000000000000036,0.09999999999999998,193582.0,118.0,20.0,229.48,80.0,346.0
93,2023-07-08,2900.0,4236.0,2.15,24661.0,32593.0,623.0,608.0,-6.400000000000015,-6.5,-1.4210854715202004e-14,183530.0,107.0,12.0,230.03,65.0,343.0
94,2023-07-10,3334.0,4274.0,5.89,28233.0,35566.0,428.0,428.0,-7.100000000000014,-6.999999999999999,2.6645352591003757e-15,187419.0,114.0,450.0,258.87000000000006,95.0,309.0
95,2023-07-11,3380.0,4359.0,7.22,28121.0,34614.0,453.0,453.0,-3.9000000000000083,-3.800000000000001,1.687538997430238e-14,192221.0,113.0,801.0,257.94,96.0,331.0
96,2023-07-12,3429.0,4494.0,7.84,26564.0,34149.0,509.0,509.0,-3.100000000000003,-3.1000000000000005,-4.263256414560601e-14,193973.0,115.0,1207.0,284.74000000000007,91.0,330.0
97,2023-07-13,,4575.0,9.379999999999999,,,563.0,,,,,197392.0,,1652.0,295.4,,354.0
98,2023-07-14,3355.0,4615.0,10.75,23554.0,31785.0,611.0,611.0,-7.399999999999963,-7.3,1.687538997430238e-14,202198.0,122.0,1624.0,293.71000000000004,100.0,380.0
99,2023-07-15,3289.0,4597.0,4.46,25672.0,31053.0,620.0,620.0,-6.900000000000051,-6.799999999999991,-5.329070518200751e-15,198698.0,122.0,563.0,290.09,95.0,418.0
100,2023-07-16,3199.0,4388.0,2.77,25388.0,30373.0,589.0,589.0,-6.40000000000002,-6.400000000000002,-0.10000000000001741,191960.0,122.0,286.0,268.40999999999997,94.0,365.0
101,2023-07-17,3372.0,4594.0,4.9799999999999995,24940.0,30383.0,637.0,637.0,-7.500000000000025,-7.399999999999998,-0.20000000000001172,201969.0,122.0,1192.0,257.09,98.0,364.0
